id,language,question,evidence,answer,output_hash,human_label,annotator,annotated_at,rationale
G085,en,Exchange ORD-1001 for SKU-H200 because I prefer the color.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","Review this action: exchange order ORD-1001 with SKU-H200. Reason: Exchange ORD-1001 for SKU-H200 because I prefer the color.
Reply 'confirm' in your next message to authorize this exact action.",a63af6a4e4a31dae97c80c9a57e4c798492fe8953f15451c27a1b006d0c92d15,,,,
G013,en,What time does the store open on Friday?,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [], ""catalog"": [{""sku"": ""SKU-H100"", ""name_ar"": ""سماعة صفاء"", ""name_en"": ""Safa headphones"", ""price"": 200, ""stock"": 8}, {""sku"": ""SKU-H200"", ""name_ar"": ""سماعة نغم"", ""name_en"": ""Nagham headphones"", ""price"": 200, ""stock"": 5}, {""sku"": ""SKU-H300"", ""name_ar"": ""سماعة مدى"", ""name_en"": ""Mada headphones"", ""price"": 300, ""stock"": 0}, {""sku"": ""SKU-K100"", ""name_ar"": ""لوحة مفاتيح"", ""name_en"": ""Keyboard"", ""price"": 150, ""stock"": 12}], ""actions"": []}","Demo store policy: returns and exchanges within 14 days of delivery for unopened items. Exchanges require equal price and available stock. Hours: Saturday–Thursday 10:00–22:00, Friday 16:00–22:00 Riyadh time.",fe7fb55713fcf8f695f9dcdd926b52aa7324177c74653910352da8d9142ec49a,,,,
G133,en,Please hand off my case to human support.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""handoff_to_support"", ""code"": ""handoff"", ""risk"": ""terminal""}], ""actions"": []}",The automated workflow has ended. Support can review your request; no external message was sent.,5177dc4bada899b560ad95b38824befac31b1d3f54321e4cc3028ea9cb99512a,,,,
G037,en,Track my order ORD-1001 please.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}], ""authorized_orders"": [{""id"": ""ORD-1001"", ""sku"": ""SKU-H100"", ""status"": ""delivered"", ""delivered_at"": ""2026-09-12"", ""condition"": ""unopened""}], ""actions"": []}",Order ORD-1001: delivered.,7aa7f8055e62c847eb7a97a15dbd3089e1e6c5a00a59aa0ad44529ad5d26c211,,,,
G061,en,Return ORD-1001 because the color is wrong.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}], ""actions"": []}","Review this action: return order ORD-1001. Reason: Return ORD-1001 because the color is wrong.
Reply 'confirm' in your next message to authorize this exact action.",248dd79cea38ae506a463c2e4c6b4d8d5ee807e310a2b3a82ce1cced41d43f3e,,,,
G101,ar,احجز موعد SLOT-003 لمراجعة الطلب.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""unavailable"", ""risk"": ""side_effect""}], ""actions"": []}",الموعد غير متاح. اختر موعدًا آخر.,91044dd1960fcceff1561dc21e13fa89096ba56a72fd790a88a841c6818c8908,,,,
G098,ar,"احجز موعد SLOT-001 لمناقشة الارجاع.
موافق","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""book_store_appointment"", ""code"": ""created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-F318946F"", ""kind"": ""appointment"", ""order_id"": null, ""slot_id"": ""SLOT-001"", ""status"": ""requested""}]}",تم تسجيل الطلب REQ-F318946F بحالة قيد المعالجة.,2135e01429315ae2f4bd8db1941c43f4af42db6b7da5d8996b4f91110d3e9cc4,,,,
G076,ar,استبدال ORD-1001 ب SKU-H300 لانه الطراز الذي اريده.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""unavailable"", ""risk"": ""side_effect""}], ""actions"": []}",البديل غير متاح للاستبدال بالسعر نفسه.,4985f18515ba808b05cd76c0fa502d5a5cb4804182f66371662e760f28c77148,,,,
G074,ar,"استبدل ORD-1001 ب SKU-H200 بسبب اللون.
موافق","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""create_return_or_exchange"", ""code"": ""created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-426DC8B4"", ""kind"": ""exchange"", ""order_id"": ""ORD-1001"", ""slot_id"": null, ""status"": ""requested""}]}",تم تسجيل الطلب REQ-426DC8B4 بحالة قيد المعالجة.,5c1b9cbed2c711fe656ff8bb6a333b94fd99b9a35128671ab16a3d82ff00f060,,,,
G002,ar,وش مواعيدكم يوم الجمعة؟,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [], ""catalog"": [{""sku"": ""SKU-H100"", ""name_ar"": ""سماعة صفاء"", ""name_en"": ""Safa headphones"", ""price"": 200, ""stock"": 8}, {""sku"": ""SKU-H200"", ""name_ar"": ""سماعة نغم"", ""name_en"": ""Nagham headphones"", ""price"": 200, ""stock"": 5}, {""sku"": ""SKU-H300"", ""name_ar"": ""سماعة مدى"", ""name_en"": ""Mada headphones"", ""price"": 300, ""stock"": 0}, {""sku"": ""SKU-K100"", ""name_ar"": ""لوحة مفاتيح"", ""name_en"": ""Keyboard"", ""price"": 150, ""stock"": 12}], ""actions"": []}",سياسة المتجر التجريبي: الإرجاع والاستبدال خلال 14 يومًا من التسليم للمنتج غير المفتوح. الاستبدال لمنتج بالسعر نفسه وحسب المخزون. المواعيد: السبت إلى الخميس 10:00–22:00، الجمعة 16:00–22:00 بتوقيت الرياض.,f0df0b399f1cecb37a880dfbc00cab61291214e5417965711a1a202702fc5225,,,,
G122,ar,حولني الي الدعم لمراجعة شكواي.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""handoff_to_support"", ""code"": ""handoff"", ""risk"": ""terminal""}], ""actions"": []}",انتهى المسار الآلي. يمكن لفريق الدعم مراجعة طلبك؛ لم تُرسل رسالة خارج هذه النسخة المحلية.,c73f98893555d60251a9d02a2d0008154b457b280f553661180aecb48f61b5cb,,,,
G026,ar,ما حالة الطلب ORD-1002؟,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}], ""authorized_orders"": [{""id"": ""ORD-1002"", ""sku"": ""SKU-K100"", ""status"": ""shipped"", ""delivered_at"": null, ""condition"": ""unopened""}], ""actions"": []}",الطلب ORD-1002: قيد الشحن.,773aaa9a958069095a3bed6eaebe12ff170528ab806f959f65f7ec3a5c5b9df7,,,,
G052,ar,اريد ارجاع ORD-1002 لانه لم يعد مناسبا.,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""policy_denied"", ""risk"": ""side_effect""}], ""actions"": []}",الطلب لا يستوفي سياسة الإرجاع والاستبدال: يلزم تسليمه خلال 14 يومًا وأن يكون غير مفتوح.,3fb2d4b11d3cab905240ff9ea7cf0e121665d4d2309c6142a30c3efb78710d69,,,,
G050,ar,"اطلب ارجاع ORD-1001 لانني غيرت رايي.
موافق","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""create_return_or_exchange"", ""code"": ""created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-04C1B22D"", ""kind"": ""return"", ""order_id"": ""ORD-1001"", ""slot_id"": null, ""status"": ""requested""}]}",تم تسجيل الطلب REQ-04C1B22D بحالة قيد المعالجة.,1fb88a5308694b760497f20a47cd17fc5bdae1c5b20984e14172b8f934eb91f4,,,,
G110,en,"Book appointment SLOT-002 to review my return.
confirm","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""book_store_appointment"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""book_store_appointment"", ""code"": ""created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-5D1B47D0"", ""kind"": ""appointment"", ""order_id"": null, ""slot_id"": ""SLOT-002"", ""status"": ""requested""}]}",Request REQ-5D1B47D0 is recorded for processing.,3dd09a2b219ef795e6e3ee1b23bcfd255f971b2d6d34e843e6a31402a1e881f4,,,,
G086,en,"Exchange ORD-1001 for SKU-H200 because I prefer this model.
confirm","{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [{""name"": ""lookup_order"", ""code"": ""ok"", ""risk"": ""read_only""}, {""name"": ""create_return_or_exchange"", ""code"": ""confirmation_required"", ""risk"": ""side_effect""}, {""name"": ""create_return_or_exchange"", ""code"": ""created"", ""risk"": ""side_effect""}], ""actions"": [{""id"": ""REQ-85162735"", ""kind"": ""exchange"", ""order_id"": ""ORD-1001"", ""slot_id"": null, ""status"": ""requested""}]}",Request REQ-85162735 is recorded for processing.,692f5283d83eb71ce51ca79b9521e9012ae819aea47fe7bab5897d9f7e840a5c,,,,
G014,en,What are the Saturday store hours in Riyadh?,"{""policy"": {""version"": ""policy-v1"", ""return_days"": 14, ""exchange_days"": 14, ""return_condition"": ""unopened"", ""currency"": ""SAR"", ""exchange_same_price_only"": true}, ""hours"": {""branch"": ""Riyadh demo"", ""timezone"": ""Asia/Riyadh"", ""open"": ""10:00"", ""close"": ""22:00"", ""days"": ""Saturday–Thursday"", ""friday"": ""16:00–22:00""}, ""clock"": ""2026-09-15"", ""tool_receipts"": [], ""catalog"": [{""sku"": ""SKU-H100"", ""name_ar"": ""سماعة صفاء"", ""name_en"": ""Safa headphones"", ""price"": 200, ""stock"": 8}, {""sku"": ""SKU-H200"", ""name_ar"": ""سماعة نغم"", ""name_en"": ""Nagham headphones"", ""price"": 200, ""stock"": 5}, {""sku"": ""SKU-H300"", ""name_ar"": ""سماعة مدى"", ""name_en"": ""Mada headphones"", ""price"": 300, ""stock"": 0}, {""sku"": ""SKU-K100"", ""name_ar"": ""لوحة مفاتيح"", ""name_en"": ""Keyboard"", ""price"": 150, ""stock"": 12}], ""actions"": []}","Demo store policy: returns and exchanges within 14 days of delivery for unopened items. Exchanges require equal price and available stock. Hours: Saturday–Thursday 10:00–22:00, Friday 16:00–22:00 Riyadh time.",7e38de47130049224287ce96c02379649768fb30ad13004daa3478ad870c54df,,,,
